icao24,r,t
495190,CS-TLP,F2TH
C2AFBD,130344,C130
484F01,PH-TFD,B738
484B49,PH-KXX,F50
400E3A,G-CDWK,R44
7CF85D,A36-002,B737
400EDB,G-BYUX,G115
3E348C,D-ILCE,PA31
401A0F,G-BAMS,DR40
A2576B,N25ZG,CL60
4062B7,G-KANL,GLEX
4CA946,EI-IGT,B737
AAFC11,N807CA,CRJ2
A5399B,N436CA,CRJ2
406562,G-CGUZ,C25A
A31FF0,N300GH,C550
0A0077,7T-VKG,B738
440572,OE-IDV,CL60
440289,OE-IRG,GLF5
7335CB,EP-MNK,A30B
48412D,P4-JCC,H25B
4CA935,EI-DVL,A320
800478,VT-JUA,CL30
A0CA4B,N150BC,FA7X
3918B3,F-GGFT,P28A
3C4A21,D-ABQA,DH8D
C2AEFF,130319,C130
44A821,OO-JAA,B738
406292,G-CGIL,CRUZ
E481C0,PR-WRM,FA7X
40224D,G-MALA,P28A
38179A,F-WWEN,AT72
7335D5,EP-MNU,A306
C051EC,C-GFAP,GL5T
51107D,ES-LBD,B733
45CAA5,OY-RUE,MD83
AD4393,N954AR,MD11
AE03D4,164597,C130
4063B6,G-TMAX,EVSS
3B77C3,141,CN35
390090,F-GAEQ,HR20
40655B,G-GDFD,B738
3D4AD8,D-FAPC,PC12
AA158A,N749SA,B743
406065,G-WCKD,EC30
AC6E17,N90NZ,
AD5B67,N96SK,H25B
C00D07,C-FEYG,DH8C
48449E,P4-GJL,CRJ2
4B820A,005,C650
34110D,EC-FLP,A320
04C05F,5Y-WHB,C56X
A955E1,N700PP,GLF4
4692C2,SX-DVB,RJ1H
3E36FE,D-IMAG,BE9L
A19ACD,N202PY,C172
424273,VP-BHS,DC87
3C4DD4,D-ACNT,CRJ9
C01B12,C-FKGN,H25B
A626F8,N496G,M20P
400E7D,G-BPUM,C182
E0305A,LV-CAZ,GLF4
38471A,F-WWZV,FA7X
343144,EC-GEN,SW4
3965AA,F-GZNK,B77W
A6831E,N519CP,GLEX
400EE8,G-BYVK,G115
A95335,N70LF,F900
4050E6,G-TRAX,C172
400E90,G-BYWM,G115
40447E,G-GHOW,C182
4CA664,EI-SKD,PA44
45D146,OY-TJF,F2TH
440217,OE-FUX,C25A
4B28A2,HB-PKC,PA46
020079,CN-RPA,B734
3C4C85,D-ACDE,GLEX
ADAA0D,N98NX,F900
A15EBB,N188DM,FA50
89404A,A9C-BAX,A320
A74FE7,N570RG,EA50
AD0726,N939AP,GL5T
3E25B2,D-IFLY,C25A
780234,B-LRW,GL5T
4008D0,G-PFCT,LJ45
A0FB13,N162WC,B737
400ECB,G-BYUG,G115
4BA995,TC-JLU,A319
400EE1,G-BYVD,G115
A375FE,N322CP,F900
44058F,OE-FZA,C510
AAF146,N804FR,A318
AE11E9,79-0003,E3TF
406541,G-EZUH,A320
AE03E8,165160,C130
780A15,B-KPT,B77W
48ADA0,SP-LNA,E190
00B206,ZS-SXX,A332
896075,A6-EAR,A332
406446,G-EZGI,A319
800648,VT-SGU,B738
484406,PH-CJC,P28A
43C0CC,XZ290,GAZL
A794BF,N588MM,C25C
89617A,A6-EGB,B77W
43E8BB,M-RKAY,PRM1
A00527,N100EQ,E50P
440058,OE-LGA,DH8D
4BBC4A,TC-OBJ,A321
404720,G-CTZO,TRIN
89601B,A6-EKW,A332
ACD392,N9253V,GLEX
AE220F,07-8608,C30J
A10F9E,N168CF,MD87
484F06,PH-BGM,B737
49D138,OK-NTG,P46T
0A0078,7T-VKH,B738
4249B4,VQ-BIT,A320
AE10F0,76-0164,BE20
A9B9DC,N726AF,
3001C6,I-FXRD,P180
4843E3,PH-XPI,PA31
3C74EC,D-AMGL,B462
C077CD,C-GTJO,CL60
3C4822,D-ABAB,B737
43E833,M-EXPL,AS55
505F2F,OM-BYO,T154
A0C931,N15PX,GLEX
3C65A7,D-AIMG,A388
AE11EA,80-0137,E3TF
A05F81,N123GV,GALX
3B76AE,F-RARF,A332
3B77F6,78,TBM7
40286C,G-JANA,P28A
400E9B,G-BYWX,G115
400EE6,G-BYVI,G115
401EB0,G-BHYR,C172
402EAF,G-SACO,P28A
4B437E,HB-ZOO,AS55
A7EC23,N6098E,PA46
3C7125,D-ALIE,E170
A2AA9C,N271EE,TBM8
3E25BC,D-IFMI,BE9L
3C6102,D-AHHB,A319
4CA94F,EI-IGU,B737
A6F04C,N546XJ,CL30
406539,G-EZGJ,A319
A31AC9,N3BR,BE35
4B1A66,HB-JZY,A320
4A5321,YR-TYA,C56X
A3C68C,N342UP,B763
C013DB,C-FHNM,CVLP
0100DB,SU-GCM,B738
383AFA,F-WWGZ,F2TH
381F9A,F-WWFB,F900
A33222,N305CL,CL30
473B35,HA-WKZ,ALO2
405144,G-UILA,A210
A0BD47,N147G,F2TH
40518B,G-IIXF,RV7
4011DC,G-PPLL,RV7
4CA941,EI-ERP,B733
3D0CC2,D-EDBU,PA46
400DFD,G-CDVB,A109
4B0EB2,HB-FOS,PC12
4249A0,VQ-BHW,B744
402D20,G-OETI,B06
4B198F,HB-JRR,GL5T
A31B4F,N3H,GLF4
A221F3,N23659,BE58
A058F1,N121RS,CL60
47875E,LN-DYP,B738
896073,A6-EAP,A332
A83966,N629TS,CL60
C03689,C-FUQY,CRJ2
AB46E4,N8258F,BE36
401937,G-AZFR,C402
44A824,OO-JAD,B738
4A0828,YR-BAH,B735
A95A48,N701WQ,FA50
010145,SU-GDY,B738
AA5B9F,N767AX,B762
A43BCF,N372G,CL60
A6EAC2,N545CS,GLF4
43E8BF,M-ICRO,C25A
A66237,N510J,C510
A4C3CD,N406KA,BE20
E4014B,PP-XTF,E190
AD853E,N970SJ,GLF4
A4B62E,N402XT,
A086B1,N133DR,PA32
AAB240,N789D,BE35
AE05A7,62-3544,K35R
400E32,G-BORW,C172
A495D3,N395EU,
4CC394,TF-ATX,B742
4B385F,HB-VJB,C501
43E83D,M-TAKE,CRJ2
AB0A64,N810LP,GLF4
7C1B06,VH-FMG,GLEX
471F4E,HA-LWG,A320
471F51,HA-LWJ,A320
43E73E,M-YEDT,ASTR
ADFEF0,161266,DC93
A4BFCB,N405GA,GLF5
A1365B,N1776C,H25B
400EED,G-BYVP,G115
400EAD,G-BYXP,G115
400EF6,G-BYVZ,G115
0942A8,TY-SAM,H25B
AE0146,59-1482,K35R
AE08D6,61-2672,C135
3E4601,D-IRSB,C525
ADD352,N990H,PC12
468A90,SX-BTP,A320
4B1853,HB-JFN,FA7X
ABA935,N850VB,TBM8
ACD10C,N925DD,CL60
A1E203,N220LH,GLF4
393C03,F-GPAD,FA20
3CC569,D-CCBH,C25B
4BA9CE,TC-JNN,A333
AE0404,84-0160,BE20
E48782,PR-BTG,FA7X
4950D1,CS-TFQ,LJ45
AA37F6,N758CC,CL60
4063B0,G-CGPR,CRUZ
AE0595,58-0130,K35R
A241F6,N2445V,C182
43E8A5,M-RSKL,GLEX
A504AE,N422SS,M20P
394455,F-GRCV,F900
A23FA3,N244J,GLF4
A4AC58,N40XC,CL60
A178CA,N194UA,B744
C04E20,C-GDPF,GLEX
896017,A6-EKS,A332
42415B,VP-CAZ,PRM1
A47A0D,N388LS,L101
4B0EE6,HB-FQS,PC12
4BA743,TC-IZC,B738
AE03C7,162786,C130
484C93,PH-WDL,PA34
43C073,ZJ124,EH10
43E89A,M-IKEL,F2TH
AA1B60,N750PT,C750
896018,A6-EKT,A332
39B160,F-HMLA,CRJX
478351,LN-RPO,B738
AA5CB1,N767MW,B762
4BA994,TC-JLT,A319
0D0621,XA-FRJ,B762
403D20,G-BXAY,B06
A43345,N37US,PA34
402E5B,G-BPWS,C172
40074D,G-MANO,ATP
ABA8F5,N850SN,TBM8
A332EB,N305LM,GLF4
40187B,G-AYAC,P28R
3F995E,50+94,C160
40499D,G-RVIS,RV8
398B28,F-HCZI,A319
A7EE7D,N61XL,C56X
3CE63E,D-COMO,LJ60
4B1162,HB-GPE,BE36
AE031D,74-2069,C130
40476F,G-ZELE,GAZL
4D0251,LX-STB,A320
AA4550,N761AS,B734
040032,ET-ANQ,B77L
A594A1,N459MC,B744
3C1644,D-AXLF,B738
A53F59,N437YV,DH8B
401CB2,G-BEYV,C210
49D0E0,OK-JNT,E135
AE116F,84-0180,BE20
3C4A25,D-ABQE,DH8D
484AEC,PH-WOU,P28A
3C4A2A,D-ABQJ,DH8D
406287,G-HAYY,CRUZ
43E89E,M-RONE,F2TH
8990DF,B-16717,B77W
896069,A6-EAF,A332
AE1BEE,06-8612,C30J
A5743F,N450XX,GLF4
3C7D87,D-AOLG,F100
484F07,PH-BGP,B737
A35373,N313RF,GLEX
896019,A6-EKU,A332
A00331,N10JP,F2TH
AE0378,62-3541,K35R
A51164,N4256H,M20P
4911A4,CS-DMD,BE40
4911A6,CS-DMF,BE40
43C35C,ZA292,S61
894040,A9C-BAY,A320
894041,A9C-BAZ,A320
4CC0DE,TF-BBI,B733
896071,A6-EAN,A332
A83D76,N63XF,F900
43C25A,ZJ197,H64
AE04C3,59-1470,K35R
39900B,F-HEAL,BE20
AB502D,N828SK,
399E42,F-HHSC,C525
AAC7F9,N794ME,GLF3
484345,P4-SIS,E135
ADDB3E,N992NA,GLF3
400E92,G-BYWO,G115
400ED3,G-BYUO,G115
40183B,G-AXNR,PUP
401B61,G-BCGJ,P28A
405E4E,G-MCRO,MCR1
4CA2F2,EI-DOV,B734
4CA17E,EI-CWW,B734
400C01,G-CBTN,PA31
40056E,G-OOBR,B752
33FFEC,MM62184,C30J
AE0402,84-0157,BE20
401102,G-CEMC,R44
40270D,G-KATT,C152
4AB430,SE-MAP,ATP
406461,G-DLAL,BE9L
43E8C3,M-RLDR,PC12
43C326,ZH860,EH10
A4E7F8,N415P,GLF5
4064A4,G-FDZX,B738
3D602E,D-FIRE,TBM7
3002A2,I-FDED,BE40
E48015,PR-AUR,GALX
403811,G-BVDP,F8L
49D05A,OK-HCB,A320
A95635,N700SY,TBM7
40653A,G-EZGK,A319
4B0EEC,HB-FQY,PC12
398D6D,F-HDLN,BE20
406542,G-EZUI,A320
400185,VP-BCV,F2TH
49D1CD,OK-TVS,B738
A3476E,N310GG,C310
E48836,PT-MVU,A332
34409A,EC-LLM,A320
406419,G-LNCT,EXPL
34164A,EC-INO,A346
4CA113,EI-CUA,B734
C01FA8,C-FLZR,B738
440552,OE-LEH,A320
AAF260,N804SY,B738
ACA94A,N915AM,GLF4
3001F4,I-EEZH,A320
A572A3,N450FK,GLF4
495248,CS-TRH,A333
40650B,G-LCYO,E190
4AC94E,SE-RJN,A320
AA838B,N777FF,CL60
43C2C7,ZF563,LYNX
3C7D88,D-AOLH,F100
4950F5,CS-TGU,A310
A45298,N378MB,GLF3
4B9027,TC-DAG,C56X
4404C3,OE-IHD,E190
47875D,LN-DYQ,B738
4CA947,EI-DVN,A320
AE49C6,09-9210,C17
43BE81,VP-BED,A319
3A4403,F-ORAD,A320
AE1169,84-0163,BE20
400E46,G-SCOL,GA8
44049F,OE-GES,C56X
401FC1,G-TALE,P28A
3C09DB,D-ASTA,A319
A1B8F5,N21UK,SR22
4012C2,G-BKBF,RALL
4CA50B,EI-IGC,B752
A7B326,N5956B,GLF4
A2365B,N2412G,PA46
A964FB,N704SA,B742
AE0302,78-0812,C130
A1500E,N184FJ,F900
E48846,PR-FGA,GLF5
403C1C,G-ODJG,EUPA
A0F217,N160EE,LJ60
3422C2,EC-JJU,C25A
A0B974,N146EX,F900
4D204F,9H-AWK,A320
3421DD,EC-HMY,E120
4249B3,VQ-BIR,A320
710240,HZ-IBN,E55P
A0E40F,N1569C,SR22
33FE7D,MM62227,B762
7803B3,B-8091,GLF4
ADFDDD,94-7316,C130
401D5D,G-TGER,AA5
8960BE,A6-MAH,H25B
43C25E,ZJ166,H64
A10FAD,N168CW,TBM7
A4E013,N413JF,C340
3C6488,D-AIDH,A321
40201E,G-BKDH,DR40
60084E,4K-AZ78,A320
A4EA85,N416BB,GLEX
A57348,N450N,SR22
484F18,PH-BCB,B738
3D0602,D-EANI,
3C09DC,D-ASTB,A319
A1171C,N17CX,C750
600851,4K-AZ81,B763
3909EE,F-GCPO,PA34
40502A,G-PIXL,R44
3D1768,D-EHCQ,M20T
3CD28F,D-CHAT,C25B
400EB2,G-BYXY,G115
400ED8,G-BYUU,G115
A4AEAC,N400WY,GLF3
4785BD,LN-WDK,DH8D
AD3571,N950JB,F900
AD3C96,N952FD,B752
33FFE0,MM62196,C30J
48497F,PH-JSP,M20P
48462C,PH-SKC,C172
406531,G-EUYL,A320
AB62E4,N8325W,P28A
4845AE,PH-DON,C172
48462B,PH-AIL,S208
48462D,PH-SKE,C172
402FDF,G-BRPS,C177
A11A78,N170PF,
14232B,RA-09003,F900
3CED02,D-CRBE,LJ45
4CC26A,TF-FIY,B752
8962E2,A6-AFD,A333
300258,I-ATRQ,AT72
458AD7,OY-BVW,BE20
398322,F-HAZC,SIRA
49D258,OK-HCA,A320
0640C9,5N-MJK,B737
A0859F,N13243,C172
400CF2,G-CDDG,P28A
4B18AC,HB-JIY,A320
A3CA43,N343UP,B763
0640C3,5N-MJO,B738
44D1CC,OO-TNL,B733
4CA937,EI-EJJ,A332
39BD24,F-HPJE,A388
AAE73B,N801SY,B738
4401B8,OE-LEE,A320
A18E2E,N2JW,CL60
0A0079,7T-VKI,B738
A1E181,N220FC,M20P
484538,PH-MLR,TOBA
506C23,S5-AAS,A320
0292AE,TS-IMS,A320
C03E33,C-FXOK,CRJ2
4B189E,HB-JIK,DH8D
4049C9,G-CCIJ,P28R
4249B6,VQ-BIU,A320
451E96,LZ-BHF,A320
4784AD,LN-WDE,DH8D
3E383E,D-IMMO,AEST
A28E0B,N264C,F900
4CA950,EI-UNE,B763
4CA8C1,EI-XLD,B744
ADC17E,N986AR,MD11
484437,PH-CKD,B744
E488B1,PR-PSE,GLF5
A1E8D7,N222ED,SR22
4BBAA2,TC-NUB,H25B
4B8490,TC-ADP,B738
30047D,I-MOFI,F2TH
400EDA,G-BYUW,G115
406605,G-FBJD,E170
406505,G-CGTP,RJ85
A31FC7,N300ES,GLF4
A7C777,N600CF,C56X
489705,SP-LGE,E145
A64212,N502HE,CL60
A56511,N447EQ,SR22
43E8B5,M-ABDP,H25B
00A517,ZS-OAO,B734
A6A21A,N52638,C182
33FFD2,MM62206,P180
A3ACAC,N336FX,CL60
43C4E0,ZH895,H47
50818D,UR-DNF,E145
4603C9,OH-BLH,B712
3C4DD5,D-ACNU,CRJ9
C053D6,C-GFTL,CL60
06A0D6,A7-MHH,A319
43E8A0,M-YZZT,SR22
00B04A,ZS-SGV,H25B
406570,G-YUMN,F2TH
440590,OE-FZB,C510
770487,4R-ADG,A343
A2AA92,N271DV,F900
4249D8,VQ-BOK,GLEX
C0061A,C-FCIB,CL60
400E94,G-BYWR,G115
400EF0,G-BYVT,G115
505F05,OM-BEX,B733
A04E12,N119EM,F2TH
ACB479,N918AX,B772
C814A1,ZK-PVB,AC90
AA674D,N77GJ,M20P
A39473,N33LC,F900
A6AE9A,N53FJ,F900
3964E4,F-GZHE,B738
4BAA4F,TC-JRO,A321
4CA8BF,EI-XLB,B744
4C1C98,YU-HEY,GAZL
406469,G-RUCK,B06
4849DB,PH-GUD,PA34
ADE6D0,N995SK,F900
ACB2A0,N917W,GLF4
403BB3,G-CVIX,
33FE92,MM62229,B762
501D7C,9A-BTD,F100
401370,G-OHPC,C208
A31B21,N3FD,ASTR
4059B7,G-ODAZ,R44
AE121F,65-0986,C130
400B39,G-DMRS,R44
3440CC,EC-LLX,A320
440193,OE-LEO,A320
3C48D4,D-ABFT,A320
403A22,G-BVZV,COY2
AA601D,N768JW,F2TH
4A8186,84006,C130
A04CE2,N1184U,C182
400047,VP-CDA,F900
AD5DE5,N960TX,FA20
471F52,HA-LWK,A320
4CA9F8,EI-EUC,A320
40653B,G-EZGL,A319
449586,OO-ELF,DA42
AA3452,N757CX,FA20
AE02CE,91-9142,C130
A7B091,N595GA,
7804D4,B-6178,A319
4B18AD,HB-JIZ,A320
44044D,OE-GAG,BE40
4BA874,TC-JCT,A310
489602,SP-LFC,AT72
A5E96A,N480JJ,G150
AE021B,84-0188,DC10
4C8046,5B-DCN,A319
A5BF30,N47EL,F2TH
4048AD,G-SIJJ,P51
A323EA,N301K,GLF5
3A4404,F-ORAE,A320
4D0294,LX-LAA,LJ45
A9D0D1,N731XB,P210
400EE2,G-BYVE,G115
4B18AB,HB-JIX,A320
33FFE9,MM62187,C30J
4CA6CD,EI-EAF,A319
A3330E,N305MX,
AB3131,N820DL,BE20
A1BCE7,N2107Z,GLF4
3440CD,EC-LKX,E190
ADCD5E,N989JC,GLF5
AC7029,N900LC,F900
AB8F51,N844GF,GLF4
501D7D,9A-BTE,F100
3E47B7,D-ISIX,BE9L
394C8C,F-GTEM,B350
400C20,G-IJYS,JS31
3C7121,D-ALIA,E170
ABA8AF,N850PT,TBM8
ABA905,N850TD,TBM8
ABCD68,N86KJ,TBM8
A9556A,N700JV,TBM7
4841AA,PH-HZV,B738
47875C,LN-DYR,B738
46008D,OH-AFL,B752
4401B1,OE-IIC,F100
4CC3B4,TF-ARJ,B742
342585,EC-GUS,SW4
403C0B,G-PASH,AS55
43C2BD,XZ255,LYNX
A9D077,N731TM,TBM8
A88B3B,N65JT,
40549A,G-STME,GLID
3CF84C,D-CVII,C650
4690E5,SX-DGE,A320
A5CC86,N473CW,GLF4
4BA599,TC-ILY,H25B
46CDB6,SX-SMV,A320
43C559,ZK022,HAWK
3C4C4F,D-ACBO,GLEX
AD5A86,N96HK,TBM8
401ACB,G-BBHK,ARV1
43C369,XV673,S61
AD5B5A,N96RX,C750
AA1B21,N750ME,C750
A4433D,N374G,CL60
A703C8,N551GR,GLF4
44015C,OE-LEA,A320
4B1091,HB-GHD,BE9T
AB349E,N821AM,GLEX
468075,4117,C27J
A71308,N555LR,GLF4
AE11D5,73-1675,E3TF
3C4A28,D-ABQH,DH8D
478353,LN-RPR,B738
A05269,N12LX,F2TH
ADC5A2,N987F,FA50
A7E0DB,N6067E,B748
40618B,G-RATD,RV8
401C78,G-BENJ,AC11
A00028,N1BN,GLF5
40264C,G-BMIX,TRIN
894011,A9C-BDF,RJ85
406398,G-MRVK,CRUZ
401DC3,G-BGNV,GA7
A0DC62,N1547K,COL4
394D49,F-GTKJ,B190
71007C,HZ-ASC,A320
A67205,N514TS,CL60
400ECC,G-BYUH,G115
400EA4,G-BYXG,G115
3424CA,EC-JYA,CRJ9
400EE0,G-BYVC,G115
C071C0,C-GRBZ,LJ60
4BAA50,TC-JRP,A321
4240E7,VP-BIM,B744
4CA312,EI-HOK,EC30
201001,V5-NAM,F900
A50BD6,N424PX,GLF4
896070,A6-EAM,A332
AA3410,N757AF,B752
AAAAA1,N787BA,B788
A32AEE,N303EU,BE58
ABA76F,N850AY,TBM8
A32695,N30183,C208
A6F5BE,N548BA,CL60
451C35,LZ-FNA,C525
43E8C6,M-TANA,F2TH
3CCB52,D-CEHM,C56X
4B84B0,TC-AEP,B738
4AC8D5,SE-RFU,B738
381FDA,F-WWFD,F900
4AB43A,SE-MAZ,BE20
4690E3,SX-DGC,A320
33FFDA,MM62199,P180
A05922,N121TR,TRIN
484EE4,PH-HSD,B738
7102E2,475,C130
39BD25,F-HPJF,A388
A6D386,N539TA,E55P
ACC5CC,N922CB,GLF4
4BA890,TC-JDP,A332
43E888,M-ALEX,LJ60
3C6101,D-AHHA,A319
A5A257,N462PJ,P46T
4BA996,TC-JLV,A319
0D0633,XA-ECO,A320
A491E1,N394CK,C680
A3E47F,N35WY,PC12
7C0C9A,VH-CRW,F2TH
A06E39,N127FJ,C25A
40172D,G-AVSF,P28A
A3333C,N305PT,SR22
406411,G-VILP,E135
3D24D8,D-EMEY,P28A
896293,A6-HHS,E190
A2EBB3,N288A,GLF5
C06123,C-GKUK,DH8D
A6AA67,N529AK,CL60
A63934,N50SN,FA50
A393C1,N33D,F2TH
4249FD,VQ-BQX,A333
A527A4,N431JG,
A1945C,N2000A,F2TH
400EBA,G-BYWE,G115
48A4D4,SP-KGW,BE30
AE11E5,78-0577,E3TF
A88FA8,N6504K,COL3
AC7016,N900KJ,F900
440554,OE-FRM,C510
A7986B,N589MA,TBM8
A1ED25,N223LE,SR22
45B524,OY-MID,PC12
34230A,EC-JNQ,A346
4603D0,OH-BLO,B712
440592,OE-FZD,C510
750257,9M-MTD,A333
A9CA4D,N73SL,GL5T
A9F468,N740VC,GLF3
484C9C,PH-YMA,GALX
AAE3DB,N800WK,A109
45C877,OY-RCW,B462
43E8CA,M-PREI,PRM1
3C48D5,D-ABFU,A320
AACE69,N796BA,B737
3C4A22,D-ABQB,DH8D
4CA2DE,EI-DMR,B734
0200D7,CN-TMK,JS31
484CB7,PH-BGQ,B737
AAC366,N793CK,B742
AE0669,62-3540,K35R
A1F05A,N224F,CL60
A5723A,N450BE,GLF4
3D2344,D-ELPK,M20P
406470,G-PGBR,P68
43E8C8,M-ARIE,PC12
4240E6,VP-BIK,B744
C2B52B,130601,C30J
403E82,G-HACK,PA18
AE0157,58-0083,K35R
40659B,G-JACI,B06
AE05AC,63-8029,K35R
43E8BE,M-BTLT,CL30
A7F701,N612JN,
4B0EEB,HB-FQX,PC12
4CC267,TF-LLX,B752
43C50B,XZ612,LYNX
C04E86,C-GDTD,CRJ2
A670A7,N514DS,C525
AA0C92,N747AG,E135
3E21DF,D-IEAH,
ACD5FB,N926RR,GLF4
43E8AE,M-LEYS,BE9L
506CD1,S5-CMT,C510
AA181E,N75EK,F2TH
0BC000,J8-JET,C25B
A082EB,N132DA,F2TH
4B1B20,HB-KHC,TBM7
A662E8,N510RB,P46T
3E24AA,D-IFBU,PA31
3433D2,EC-KZI,A346
A79B8E,N59FC,PA31
406544,G-EZUK,A320
A6BFDC,N534FX,CL30
896072,A6-EAO,A332
3B77CE,114,CN35
400EBD,G-BYWH,G115
AA521F,N764TT,B762
34138F,EC-HDQ,A343
3440C1,EC-LML,A320
A361A6,N317JM,C560
4BCD6B,TC-SKK,A320
A86BBC,N6413J,BE36
405CCB,G-INDI,PTS2
AAB9B0,N790TB,TBM7
47875A,LN-DYT,B738
A3D3F8,N346DW,C340
A93225,N692AA,B752
4B85B0,TC-AMP,B738
A25D1E,N251VP,GLF4
4B18B4,HB-JJG,B763
7C3F0A,VH-MQK,F900
400D6C,G-WAGS,R44
3D2E5E,D-EPUS,PA46
3C4DD6,D-ACNV,CRJ9
896246,A6-VVV,E135
7102E4,1626,C130
3CF064,D-CSIM,LJ60
3C7DC5,D-AONE,E135
71000D,HZ-AIN,B743
406543,G-EZUJ,A320
742DA5,JY-KME,E135
AE0407,165735,C30J
00B205,ZS-SXW,A332
40658A,G-LCYP,E190
A0A6A7,N141CP,GLF4
A54B8A,N440KM,CL60
A575F4,N451BH,GLF4
406516,G-TSHO,C42
E40144,FAB2585,E135
40232F,G-TWEL,P28A
3C6489,D-AIDI,A321
484B44,PH-AAZ,A320
50822D,UR-BXK,AN12
A0583D,N121JM,GLF4
4CA2A6,EI-DKL,B752
402143,G-RVRZ,PA27
40199C,G-AZVP,C177
3415C3,EC-IDF,A343
4D02CF,LX-NEW,PC12
4D010F,LX-DCV,B744
A1C95C,N214LD,F2TH
40626E,G-GKRC,C180
0D05E3,XA-CHE,GLF4
0D0085,XA-MAR,FA7X
C2B535,130602,C30J
4405AA,OE-HPG,CL30
084FF0,TT-DAD,DH8C
896060,A6-YAS,B744
AC702A,N900LD,H25B
4014CB,G-AOTR,DHC1
A90EC1,N683EA,BE36
398261,F-HATB,F900
4045DD,G-HXTD,DR40
C01931,C-FJOA,F2TH
462F93,OH-SAL,RJ85
43C4D6,ZA705,H47
4CA1E9,262,PC9
A05DC5,N1222G,COL3
A00551,N100GG,C501
4B0098,HB-AFW,AT72
40129A,G-RVAB,RV7
406606,G-RADY,CRJ2
342457,EC-JTS,CRJ9
3925C1,F-GJOB,C550
48ADA1,SP-LNB,E190
503C6D,LY-FLE,B733
43C28E,XW212,PUMA
400EF2,G-BYVV,G115
400ECA,G-BYUF,G115
43C615,ZJ995,EH10
A69CCF,N525PJ,C525
4A815A,SE-DSS,RJ1H
451C24,LZ-ASP,P180
A63EC4,N501MK,F900
4B1EDB,HB-LRV,PAY2
3E19F8,D-IBAM,C340
4B85D0,TC-ANP,B738
4844E4,PH-ACI,C303
C2AF95,130340,C130
896133,A6-EYE,A332
A75D1B,N57384,M20P
89606C,A6-EAI,A332
A01230,N103ZZ,GL5T
A573AF,N450SC,P210
424157,VP-CKS,A318
A7C471,N6VJ,BE9T
40653C,G-EZGM,A319
400B7F,G-BBRA,PA27
E48084,PR-SPR,C680
401187,G-MACH,F260
A4A86F,N4FC,GLF4
3C4DD7,D-ACNW,CRJ9
AB7E90,N84LX,C56X
4060CD,G-GOWF,EC35
A6DD33,N541S,C650
406584,G-FBJL,F2TH
A31DF9,N30LF,F2TH
4025AA,G-JWCM,BDOG
49522A,CS-TQJ,A319
4CA90C,EI-LIR,A319
A27922,N259CC,C208
7805D7,B-8097,GLF5
40655D,G-VINE,A333
AE12D9,62-1801,C130
A93E13,N695JB,FA50
40653D,G-EZGN,A319
8962E3,A6-AFE,A333
A66140,N51YD,BE33
4249DC,VQ-BKS,A320
AD0D31,N940AJ,GLF5
3C4DD8,D-ACNX,CRJ9
3D3FFF,D-EWMH,C182
896269,A6-AJC,A318
402703,G-BMOE,P28R
A863FC,N64MG,LJ60
4059B9,G-CIRS,SR20
C0755A,C-GSLL,CRJ2
3C4986,D-ABLF,B737
51402F,4L-TGS,CRJ2
AE1490,95-0122,B703
440591,OE-FZC,C510
0D0649,XA-BIO,A320
AE10E0,92-13122,BE20
3CF82B,D-CVHB,C56X
404776,G-CBSI,GAZL
0640F2,5N-FGW,GLF5
ABCA17,N859PL,PC12
71BE12,HL7612,A388
A4104F,N361DA,A320
44F106,FA-86,F16
4B8530,TC-AIP,B738
44F160,FA-110,F16
33FFB8,MM62219,C27J
3D3860,D-ETPG,
342199,T.21-09,C295
7C3CF3,VH-MBP,GLF4
44F125,FA-95,F16
33FFE3,MM62193,C30J
33FFD4,MM62204,P180
4405AF,OE-IBA,B733
43C24B,ZJ182,H64
489600,SP-LFA,AT72
43E8A2,M-MTPO,CL60
ABAA59,N85044,CH7A
A0BD94,N147KB,SR22
484C8F,PH-4F9,
393EE2,F-GPXC,F100
A11DAF,N171JC,GLF4
45C864,OY-RCD,RJ85
40197F,G-AZRM,RF5
3CA8B4,D-BJET,J328
A582A9,N454TH,GALX
3C4A24,D-ABQD,DH8D
7581F6,RP-C8993,A320
505EC3,OM-VRC,AT72
A0C875,N15GJ,C510
7BC003,B-2469,B744
440529,OE-IHE,E190
3C65A8,D-AIMH,A388
A9E539,N737BV,B737
40234A,G-WOOD,BE58
3E0031,D-HRGR,EC35
3D069D,D-EATH,P28A
4844AF,P4-VIP,CRJ1
394409,F-GRAJ,PC12
488D61,SP-DLB,C25A
484113,PH-JXJ,F50
3CC629,D-CCIR,D328
4D0230,LX-AMB,FA7X
484F13,PH-GGX,B738
394931,F-GSJR,PA46
A11350,N169CA,B752
39572D,F-GVZN,AT75
AC8305,N905PA,DA40
34264F,T.21-11,C295
43C225,ZJ130,EH10
A845BC,N632FW,CL30
4A9148,SE-DJH,C550
4B8682,TC-ATB,A321
4AC8D6,SE-RFV,B738
49D152,OK-LEO,C510
0200BC,CN-BTM,TEX2
0200BF,CN-BTN,TEX2
403FC8,G-RVGA,RV6
4BA94E,TC-JJN,B77W
064016,5N-SAG,D328
71023F,HZ-HSH,CL60
4CA5A6,EI-DXB,B733
A4B0E7,N401FT,GLF4
40653F,G-EZGP,A319
4041AE,G-NSEW,R44
ADFEBE,96-0108,C560
E48835,PT-MVV,A332
3C4B02,D-ABXB,A332
AD72D4,N966E,F900
